"OCV, V","SOC, %"
3.1344,6.891309373861337
3.135,6.905132604175549
3.1356,6.918955834489761
3.1361,6.932779064803972
3.1366,6.9466022951181845
3.1371,6.96041739412044
3.1376,6.9742324931226936
3.1382,6.988055723436906
3.1387,7.001878953751117
3.1392,7.015702184065329
3.1398,7.029525414379542
3.1402,7.043348644693753
3.1408,7.057171875007966
3.1413,7.0709951053221785
3.1418,7.084818335636389
3.1423,7.098633434638645
3.1429,7.112448533640898
3.1435,7.126263632643154
3.144,7.140086862957366
3.1445,7.153910093271578
3.1451,7.167733323585789
3.1455,7.181556553900001
3.1461,7.1953797842142135
3.1466,7.209203014528426
3.1472,7.223026244842637
3.1477,7.236849475156849
3.1483,7.25067270547106
3.1488,7.2644959357852725
3.1493,7.278319166099485
3.1498,7.292142396413697
3.1504,7.305965626727909
3.1509,7.319788857042122
3.1515,7.333612087356332
3.152,7.347435317670545
3.1526,7.361258547984756
3.1531,7.375081778298968
3.1536,7.388905008613181
3.1542,7.402728238927391
3.1547,7.416551469241604
3.1552,7.4303746995558155
3.1558,7.444197929870028
3.1563,7.4580211601842405
3.1568,7.471844390498451
3.1575,7.485667620812664
3.1579,7.4994908511268745
3.1584,7.513314081441087
3.159,7.5271373117552995
3.1595,7.540960542069511
3.16,7.554783772383724
3.1605,7.568607002697936
3.1611,7.582430233012147
3.1617,7.596245332014402
3.1622,7.610068562328613
3.1627,7.623891792642826
3.1632,7.637715022957038
3.1638,7.651538253271249
3.1643,7.665361483585461
3.1648,7.679184713899673
3.1654,7.6930079442138855
3.1659,7.706831174528098
3.1664,7.720654404842309
3.167,7.734477635156521
3.1675,7.748300865470732
3.1681,7.7621240957849444
3.1687,7.775947326099157
3.1691,7.789770556413369
3.1696,7.80359378672758
3.1702,7.817417017041793
3.1708,7.831240247356004
3.1713,7.845063477670217
3.1718,7.858886707984428
3.1724,7.87270993829864
3.1729,7.886533168612853
3.1734,7.900356398927063
3.1739,7.914179629241276
3.1745,7.9280028595554874
3.175,7.9418260898697
3.1756,7.9556493201839125
3.176,7.969472550498123
3.1766,7.983295780812336
3.1771,7.997119011126546
3.1777,8.010934110128803
3.1782,8.024757340443015
3.1787,8.038580570757226
3.1793,8.052403801071438
3.1798,8.066227031385651
3.1803,8.080050261699862
3.1808,8.093873492014074
3.1814,8.107688591016329
3.1819,8.12151182133054
3.1824,8.135335051644752
3.183,8.149158281958965
3.1835,8.162981512273177
3.184,8.176804742587388
3.1846,8.1906279729016
3.1851,8.204451203215813
3.1856,8.218274433530024
3.1862,8.232097663844236
3.1867,8.245920894158447
3.1872,8.25974412447266
3.1878,8.273567354786872
3.1883,8.287390585101083
3.1887,8.301213815415295
3.1893,8.315037045729508
3.1898,8.328860276043718
3.1903,8.34268350635793
3.1908,8.356506736672141
3.1914,8.370329966986354
3.1919,8.384153197300567
3.1925,8.397976427614779
3.1929,8.411799657928992
3.1935,8.425622888243202
3.194,8.439446118557415
3.1944,8.453269348871627
3.195,8.467092579185838
3.1955,8.48091580950005
3.1961,8.494739039814261
3.1967,8.508562270128474
3.1972,8.522385500442686
3.1976,8.536208730756897
3.1982,8.55003196107111
3.1987,8.563855191385322
3.1992,8.577678421699533
3.1998,8.591501652013745
3.2003,8.605324882327956
3.2008,8.619148112642169
3.2013,8.632971342956381
3.2018,8.646794573270594
3.2023,8.660617803584806
3.2029,8.674441033899017
3.2034,8.68826426421323
3.2039,8.702087494527442
3.2044,8.715910724841653
3.2049,8.729733955155865
3.2054,8.743557185470076
3.2059,8.757380415784288
3.2065,8.771195514786543
3.2069,8.785010613788797
3.2074,8.798825712791054
3.2079,8.812648943105266
3.2084,8.826472173419477
3.2089,8.84029540373369
3.2095,8.8541186340479
3.2101,8.867941864362113
3.2105,8.881765094676325
3.2111,8.895588324990536
3.2115,8.909411555304748
3.2121,8.923234785618959
3.2126,8.937058015933172
3.2132,8.950881246247384
3.2136,8.964704476561595
3.2141,8.978527706875807
3.2146,8.992350937190018
3.2152,9.00617416750423
3.2156,9.019997397818443
3.2161,9.033820628132656
3.2166,9.047643858446868
3.2171,9.06146708876108
3.2177,9.075282187763333
3.2181,9.089105418077546
3.2187,9.102928648391757
3.2191,9.11675187870597
3.2196,9.130575109020182
3.2201,9.144398339334394
3.2205,9.158221569648607
3.2211,9.17203666865086
3.2216,9.185859898965072
3.2221,9.199683129279284
3.2225,9.213506359593495
3.2231,9.227329589907708
3.2236,9.241152820221918
3.2241,9.254976050536131
3.2245,9.268799280850343
3.2251,9.282614379852598
3.2256,9.296429478854854
3.2261,9.310244577857109
3.2265,9.324059676859363
3.227,9.337874775861618
3.2275,9.351698006175829
3.228,9.365521236490041
3.2285,9.379344466804254
3.229,9.393167697118464
3.2295,9.406990927432677
3.2299,9.42081415774689
3.2304,9.434629256749144
3.2309,9.448452487063356
3.2314,9.462275717377567
3.2318,9.47609894769178
3.2323,9.48992217800599
3.2328,9.503745408320203
3.2333,9.517568638634415
3.2337,9.531391868948628
3.2342,9.54521509926284
3.2347,9.559038329577053
3.2352,9.572861559891264
3.2357,9.586684790205476
3.2362,9.600508020519687
3.2366,9.6143312508339
3.2372,9.628154481148112
3.2376,9.641977711462323
3.2381,9.655800941776535
3.2385,9.669624172090746
3.2391,9.683447402404958
3.2395,9.697270632719171
3.24,9.711093863033382
3.2405,9.724917093347594
3.2409,9.738740323661805
3.2413,9.752563553976017
3.2418,9.76638678429023
3.2423,9.780210014604442
3.2427,9.794033244918655
3.2432,9.807856475232866
3.2436,9.821679705547078
3.2441,9.83550293586129
3.2446,9.849326166175501
3.245,9.863149396489714
3.2455,9.876972626803926
3.246,9.890795857118137
3.2464,9.90461908743235
3.2469,9.91844231774656
3.2474,9.932265548060773
3.2478,9.946088778374985
3.2483,9.959912008689196
3.2487,9.973735239003409
3.2492,9.98755846931762
3.2496,10.001381699631832
3.2501,10.015204929946044
3.2506,10.029028160260257
3.251,10.042851390574468
3.2515,10.05667462088868
3.252,10.070497851202893
3.2524,10.084321081517105
3.2528,10.098144311831316
3.2533,10.111967542145528
3.2538,10.125790772459741
3.2542,10.139614002773952
3.2546,10.153437233088164
3.2551,10.167260463402375
3.2556,10.181083693716587
3.256,10.1949069240308
3.2564,10.20873015434501
