bat_num,temp,profile,U_start_V,U_end_V,file_name
1,+30,impulse_72_s,3.8935300000000006,3.8856399999999995,1_+30_impulse_72_s_13.csv
1,+30,impulse_144_s,3.8856399999999995,3.8688100000000007,1_+30_impulse_144_s_14.csv
1,+30,impulse_288_s,3.8688100000000007,3.8167999999999997,1_+30_impulse_288_s_15.csv
1,+30,impulse_72_s,3.8167999999999997,3.79795,1_+30_impulse_72_s_16.csv
1,+30,impulse_144_s,3.79795,3.77352,1_+30_impulse_144_s_17.csv
1,+30,impulse_288_s,3.77352,3.7316900000000004,1_+30_impulse_288_s_18.csv
1,+30,impulse_72_s,3.7316900000000004,3.7215900000000004,1_+30_impulse_72_s_19.csv
1,+30,impulse_144_s,3.7215900000000004,3.7026199999999996,1_+30_impulse_144_s_20.csv
1,+30,impulse_288_s,3.7026199999999996,3.66997,1_+30_impulse_288_s_21.csv
1,+30,impulse_72_s,3.66997,3.6630199999999995,1_+30_impulse_72_s_22.csv
1,+30,impulse_144_s,3.6630199999999995,3.6500700000000004,1_+30_impulse_144_s_23.csv
1,+30,impulse_288_s,3.6500700000000004,3.62701,1_+30_impulse_288_s_24.csv
1,+30,impulse_72_s,3.62701,3.62127,1_+30_impulse_72_s_25.csv
1,+30,impulse_144_s,3.62127,3.60792,1_+30_impulse_144_s_26.csv
1,+30,impulse_288_s,3.60792,3.5723,1_+30_impulse_288_s_27.csv
1,+30,UDDS,4.1195200000000005,3.9774900000000004,1_+30_UDDS_01.csv
1,+30,UDDS,3.9774900000000004,3.7817299999999996,1_+30_UDDS_02.csv
1,+30,UDDS,3.7817299999999996,3.62387,1_+30_UDDS_03.csv
1,+30,NEDC,4.112899999999999,3.95732,1_+30_NEDC_01.csv
1,+30,NEDC,3.95732,3.74493,1_+30_NEDC_02.csv
1,+30,NEDC,3.74493,3.589060000000001,1_+30_NEDC_03.csv
1,+30,WLTC,4.11298,3.9024,1_+30_WLTC_01.csv
1,+30,WLTC,3.9024,3.68172,1_+30_WLTC_02.csv
1,+30,WLTC,3.68172,3.5284,1_+30_WLTC_03.csv
2,+30,impulse_72_s,4.10577,4.098719999999999,2_+30_impulse_72_s_01.csv
2,+30,impulse_144_s,4.098719999999999,4.08836,2_+30_impulse_144_s_02.csv
2,+30,impulse_288_s,4.08836,4.0747599999999995,2_+30_impulse_288_s_03.csv
2,+30,impulse_72_s,4.0747599999999995,4.07092,2_+30_impulse_72_s_04.csv
2,+30,impulse_144_s,4.07092,4.057499999999999,2_+30_impulse_144_s_05.csv
2,+30,impulse_288_s,4.057499999999999,4.01372,2_+30_impulse_288_s_06.csv
2,+30,impulse_72_s,4.01372,4.00233,2_+30_impulse_72_s_07.csv
2,+30,impulse_144_s,4.00233,3.9786500000000005,2_+30_impulse_144_s_08.csv
2,+30,impulse_288_s,3.9786500000000005,3.93694,2_+30_impulse_288_s_09.csv
2,+30,impulse_72_s,3.93694,3.92834,2_+30_impulse_72_s_10.csv
